Country,Critical mineral
Australia,Aluminum (bauxite)
China,Antimony
Peru,Arsenic
India,Barite
United States,Beryllium
China,Bismuth
South Africa,Chromium
Congo (Kinshasa),Cobalt
China,Fluorspar
China,Gallium
China,Germanium
China,Graphite (natural)
China,Indium
Australia,Lithium
China,Magnesium
South Africa,Manganese
Indonesia,Nickel
Brazil,Niobium
Russia,Palladium
South Africa,Platinum
China,Rare Earths (compounds and metals)
China,Scandium
Congo (Kinshasa),Tantalum
China,Tellurium
China,Tin
China,Titanium
China,Tungsten
China,Vanadium
China,Yttrium
Australia,Zirconium (ores and concentrates)
