"Crash Date (Day)

",Person Type Fatal,Speeding Vehicle - Not Alcohol Imparied,Alcohol Impaired - No Speeding
1,11869,1870,2522
2,11471,1859,2270
3,11506,1924,2250
4,11600,1851,2325
5,11553,1916,2254
6,11434,1902,2257
7,11433,1812,2298
8,11276,1834,2136
9,11261,1866,2170
10,11436,1969,2296
11,11274,1876,2145
12,11259,1824,2209
13,11214,1882,2162
14,11166,1838,2252
15,11108,1781,2182
16,11458,1906,2228
17,11223,1902,2202
18,11395,1878,2275
19,11412,1920,2297
20,11375,1819,2219
21,11361,1930,2275
22,11300,1879,2187
23,11309,1938,2271
24,11407,1900,2316
25,11274,1823,2215
26,11145,1835,2285
27,11145,1813,2303
28,11024,1831,2273
29,10652,1779,2129
30,10721,1704,2115
31,6601,1044,1326
