Year,LoanCharacteristicsID,Bank,FIPSStateNumericCode,FIPSCountyCode,CoreBasedStatisticalAreaCode,CensusTractIdentifier,CensusTractMinorityRatioPercent,CensusTractMedFamIncomeAmount,LocalAreaMedianIncomeAmount,TotalMonthlyIncomeAmount,HUDMedianIncomeAmount,LoanAcquisitionActualUPBAmt,LTVRatioPercent,NoteDate,LoanAcquisitionDate,LoanPurposeType,ProductCategoryName,MortgageType,ScheduledTotalPaymentCount,LoanAmortizationMaxTermMonths,MortgageLoanSellerInstType,BorrowerCount,BorrowerFirstTimeHomebuyer,Borrower1Race1Type,Borrower2Race1Type,Borrower1SexType,Borrower2SexType,Borrower1AgeAtApplicationYears,Borrower2AgeAtApplicationYears,PropertyUsageType,PropertyUnitCount,NoteRatePercent,NoteAmount,HousingExpenseRatioPercent,TotalDebtExpenseRatioPercent,Borrower1CreditScoreValue,Borrower2CreditScoreValue,PMICoveragePercent,EmploymentBorrowerSelfEmployed,PropertyType,IndexSourceType,MarginRatePercent,PrepaymentPenaltyExpirationDate,Borrower1EthnicityType,Borrower1Race2Type,Borrower1Race3Type,Borrower1Race4Type,Borrower1Race5Type,Borrower2EthnicityType,Borrower2Race2Type,Borrower2Race3Type,Borrower2Race4Type,Borrower2Race5Type,HOEPALoanStatusType,LienPriorityType
2023,2749708,Boston,09,003,25540,4901,30.787,87445,106293,11042,118700,360000,80,2023,2023,1,01,0,360,360,01,2,1,2,2,1,2,26,27,1,1,6.375,360000,28.91,29.83,4,4,0,0,PT01,99,9999,12/31/9999,2,7,7,7,7,2,7,7,7,7,2,1
2023,2749709,Boston,09,003,25540,4963,31.863,128059,106293,32499,118700,345000,75,2023,2023,1,01,0,180,180,01,2,0,5,6,1,2,36,32,1,1,6.375,345000,13.47,28.26,5,5,0,0,PT07,99,9999,12/31/9999,2,7,7,7,7,3,7,7,7,7,2,1
2023,2749710,Boston,44,001,39300,0309.02,8.197,131779,94723,7992,108300,409500,80,2023,2023,1,01,0,360,360,01,1,0,5,8,2,4,57,998,1,2,6.125,409500,39.69,49.38,4,9,0,1,PT04,99,9999,12/31/9999,2,7,7,7,7,5,8,8,8,8,2,1
2023,2749711,Boston,33,005,28300,9704.01,8.824,89571,91843,3900,112100,132000,80,2023,2023,1,01,0,360,360,01,1,0,5,8,1,4,45,998,1,1,6.375,132000,31.98,33.26,4,9,0,0,PT01,99,9999,12/31/9999,2,7,7,7,7,5,8,8,8,8,2,1
2023,2749712,Boston,25,017,14460,3563,32.652,97813,123334,10792,141300,511200,80,2023,2023,1,01,0,360,360,01,2,0,2,2,2,1,64,69,1,1,6.25,511200,35.75,42.72,4,5,0,0,PT06,99,9999,12/31/9999,2,7,7,7,7,2,7,7,7,7,2,1
2023,2749713,Boston,50,011,15540,0101.01,10.196,69261,100684,14011,115700,384634,86,2023,2023,1,01,2,360,360,01,2,1,5,5,1,2,43,40,1,1,6.25,385000,20.49,36.01,2,3,0,0,PT01,99,9999,12/31/9999,2,7,7,7,7,2,7,7,7,7,2,1
2023,2749714,Boston,25,025,14460,1303,21.197,163958,123334,11119,141300,540000,80,2023,2023,1,01,0,360,360,01,2,1,5,5,2,2,33,31,1,1,5.75,540000,34.64,37.03,5,5,0,0,PT01,99,9999,12/31/9999,2,7,7,7,7,2,7,7,7,7,2,1
2023,2749715,Boston,25,023,14460,5021.02,17.045,118375,123334,10823,141300,396000,90,2023,2023,1,01,0,360,360,01,2,1,6,6,3,3,27,27,1,1,6.25,396000,28.5,42.12,4,5,25,0,PT01,99,9999,12/31/9999,3,7,7,7,7,3,7,7,7,7,2,1
2023,2749716,Boston,25,001,12700,0125.02,35.67,70288,107577,21665,124300,280000,80,2023,2023,1,01,0,360,360,01,2,1,5,5,1,2,56,56,2,1,6.5,280000,25.09,43.12,5,4,0,0,PT01,99,9999,12/31/9999,2,7,7,7,7,2,7,7,7,7,2,1
2023,2749717,Boston,25,025,14460,1104.03,52.175,138623,123334,10511,141300,495900,90,2023,2023,1,01,0,360,360,01,2,1,6,6,2,1,34,36,1,1,5.5,495900,33.06,34.45,5,5,25,1,PT06,99,9999,12/31/9999,3,7,7,7,7,3,7,7,7,7,2,1
