"MONTH","PERP_RACE","AGE_GROUP","PERP_SEX","n"
1,"AMERICAN INDIAN/ALASKAN NATIVE","18-24","F",1
1,"AMERICAN INDIAN/ALASKAN NATIVE","18-24","M",8
1,"AMERICAN INDIAN/ALASKAN NATIVE","25-44","F",4
1,"AMERICAN INDIAN/ALASKAN NATIVE","25-44","M",33
1,"AMERICAN INDIAN/ALASKAN NATIVE","45-64","F",2
1,"AMERICAN INDIAN/ALASKAN NATIVE","45-64","M",14
1,"AMERICAN INDIAN/ALASKAN NATIVE","65+","M",1
1,"AMERICAN INDIAN/ALASKAN NATIVE","<18","F",1
1,"AMERICAN INDIAN/ALASKAN NATIVE","<18","M",1
1,"ASIAN / PACIFIC ISLANDER","18-24","F",30
1,"ASIAN / PACIFIC ISLANDER","18-24","M",127
1,"ASIAN / PACIFIC ISLANDER","25-44","F",69
1,"ASIAN / PACIFIC ISLANDER","25-44","M",465
1,"ASIAN / PACIFIC ISLANDER","45-64","F",42
1,"ASIAN / PACIFIC ISLANDER","45-64","M",161
1,"ASIAN / PACIFIC ISLANDER","65+","F",4
1,"ASIAN / PACIFIC ISLANDER","65+","M",26
1,"ASIAN / PACIFIC ISLANDER","<18","F",3
1,"ASIAN / PACIFIC ISLANDER","<18","M",22
1,"BLACK","18-24","F",312
1,"BLACK","18-24","M",1312
1,"BLACK","25-44","F",895
1,"BLACK","25-44","M",4354
1,"BLACK","45-64","F",284
1,"BLACK","45-64","M",1585
1,"BLACK","65+","F",21
1,"BLACK","65+","M",102
1,"BLACK","<18","F",58
1,"BLACK","<18","M",358
1,"BLACK HISPANIC","18-24","F",47
1,"BLACK HISPANIC","18-24","M",294
1,"BLACK HISPANIC","25-44","F",132
1,"BLACK HISPANIC","25-44","M",858
1,"BLACK HISPANIC","45-64","F",28
1,"BLACK HISPANIC","45-64","M",192
1,"BLACK HISPANIC","65+","M",12
1,"BLACK HISPANIC","<18","F",11
1,"BLACK HISPANIC","<18","M",67
1,"UNKNOWN","18-24","F",2
1,"UNKNOWN","18-24","M",13
1,"UNKNOWN","25-44","F",3
1,"UNKNOWN","25-44","M",29
1,"UNKNOWN","45-64","F",1
1,"UNKNOWN","45-64","M",5
1,"UNKNOWN","65+","M",1
1,"UNKNOWN","<18","M",3
1,"WHITE","18-24","F",41
1,"WHITE","18-24","M",147
1,"WHITE","25-44","F",226
1,"WHITE","25-44","M",860
1,"WHITE","45-64","F",79
1,"WHITE","45-64","M",442
1,"WHITE","65+","F",9
1,"WHITE","65+","M",44
1,"WHITE","<18","F",4
1,"WHITE","<18","M",20
1,"WHITE HISPANIC","18-24","F",152
1,"WHITE HISPANIC","18-24","M",763
1,"WHITE HISPANIC","25-44","F",482
1,"WHITE HISPANIC","25-44","M",2341
1,"WHITE HISPANIC","45-64","F",122
1,"WHITE HISPANIC","45-64","M",697
1,"WHITE HISPANIC","65+","F",1
1,"WHITE HISPANIC","65+","M",44
1,"WHITE HISPANIC","<18","F",22
1,"WHITE HISPANIC","<18","M",112
2,"AMERICAN INDIAN/ALASKAN NATIVE","18-24","F",2
2,"AMERICAN INDIAN/ALASKAN NATIVE","18-24","M",3
2,"AMERICAN INDIAN/ALASKAN NATIVE","25-44","F",9
2,"AMERICAN INDIAN/ALASKAN NATIVE","25-44","M",21
2,"AMERICAN INDIAN/ALASKAN NATIVE","45-64","F",1
2,"AMERICAN INDIAN/ALASKAN NATIVE","45-64","M",11
2,"AMERICAN INDIAN/ALASKAN NATIVE","65+","F",1
2,"AMERICAN INDIAN/ALASKAN NATIVE","65+","M",1
2,"AMERICAN INDIAN/ALASKAN NATIVE","<18","M",3
2,"ASIAN / PACIFIC ISLANDER","18-24","F",21
2,"ASIAN / PACIFIC ISLANDER","18-24","M",116
2,"ASIAN / PACIFIC ISLANDER","25-44","F",45
2,"ASIAN / PACIFIC ISLANDER","25-44","M",412
2,"ASIAN / PACIFIC ISLANDER","45-64","F",40
2,"ASIAN / PACIFIC ISLANDER","45-64","M",166
2,"ASIAN / PACIFIC ISLANDER","65+","F",4
2,"ASIAN / PACIFIC ISLANDER","65+","M",20
2,"ASIAN / PACIFIC ISLANDER","<18","F",3
2,"ASIAN / PACIFIC ISLANDER","<18","M",19
2,"BLACK","18-24","F",252
2,"BLACK","18-24","M",1129
2,"BLACK","25-44","F",779
2,"BLACK","25-44","M",3933
2,"BLACK","45-64","F",218
2,"BLACK","45-64","M",1361
2,"BLACK","65+","F",17
2,"BLACK","65+","M",99
2,"BLACK","<18","F",55
2,"BLACK","<18","M",270
2,"BLACK HISPANIC","18-24","F",50
2,"BLACK HISPANIC","18-24","M",303
2,"BLACK HISPANIC","25-44","F",134
2,"BLACK HISPANIC","25-44","M",765
2,"BLACK HISPANIC","45-64","F",29
2,"BLACK HISPANIC","45-64","M",255
2,"BLACK HISPANIC","65+","F",3
2,"BLACK HISPANIC","65+","M",13
2,"BLACK HISPANIC","<18","F",13
2,"BLACK HISPANIC","<18","M",57
2,"UNKNOWN","18-24","F",2
2,"UNKNOWN","18-24","M",15
2,"UNKNOWN","25-44","F",2
2,"UNKNOWN","25-44","M",30
2,"UNKNOWN","45-64","F",4
2,"UNKNOWN","45-64","M",7
2,"UNKNOWN","65+","M",2
2,"UNKNOWN","<18","M",2
2,"WHITE","18-24","F",26
2,"WHITE","18-24","M",144
2,"WHITE","25-44","F",199
2,"WHITE","25-44","M",747
2,"WHITE","45-64","F",75
2,"WHITE","45-64","M",368
2,"WHITE","65+","F",15
2,"WHITE","65+","M",44
2,"WHITE","<18","F",5
2,"WHITE","<18","M",19
2,"WHITE HISPANIC","18-24","F",146
2,"WHITE HISPANIC","18-24","M",631
2,"WHITE HISPANIC","25-44","F",403
2,"WHITE HISPANIC","25-44","M",2123
2,"WHITE HISPANIC","45-64","F",102
2,"WHITE HISPANIC","45-64","M",607
2,"WHITE HISPANIC","65+","F",5
2,"WHITE HISPANIC","65+","M",33
