"genres","word","sentiment","n"
"Comedy","funny","negative",20629
"Drama","love","positive",15024
"Action & Adventure","fun","positive",12846
"Comedy","fun","positive",11786
"Drama","funny","negative",9545
"Drama","plot","negative",9503
"Drama","fun","positive",9240
"Drama","entertaining","positive",8894
"Comedy","love","positive",8590
"Drama","hard","negative",8552
"Drama","bad","negative",8524
"Comedy","humor","positive",7498
"Science Fiction & Fantasy","fun","positive",7365
"Comedy","romantic","positive",7114
"Romance","love","positive",7062
"Comedy","bad","negative",6904
"Drama","worth","positive",6824
"Action & Adventure","entertaining","positive",6765
"Action & Adventure","plot","negative",6627
"Action & Adventure","bad","negative",6529
"Comedy","entertaining","positive",6427
"Drama","strong","positive",6321
"Drama","romantic","positive",6072
"Romance","romantic","positive",6057
"Mystery & Suspense","fun","positive",6031
"Drama","dark","negative",5870
"Mystery & Suspense","plot","negative",5847
"Comedy","plot","negative",5561
"Drama","beautiful","positive",5548
"Drama","powerful","positive",5523
"Drama","pretty","positive",5298
"Comedy","hard","negative",5119
"Drama","classic","positive",5117
"Drama","fine","positive",5023
"Drama","humor","positive",4858
"Mystery & Suspense","bad","negative",4847
"Action & Adventure","funny","negative",4760
"Comedy","sweet","positive",4529
"Drama","perfect","positive",4480
"Mystery & Suspense","entertaining","positive",4353
"Action & Adventure","fans","positive",4340
"Drama","engaging","positive",4310
"Drama","solid","positive",4298
"Drama","fans","positive",4261
"Action & Adventure","hard","negative",4210
"Drama","fascinating","positive",4193
"Drama","smart","positive",4115
"Drama","enjoyable","positive",4050
"Drama","beautifully","positive",3941
"Drama","easy","positive",3919
"Comedy","pretty","positive",3833
"Drama","top","positive",3817
"Horror","fun","positive",3810
"Drama","slow","negative",3808
"Drama","modern","positive",3794
"Comedy","charming","positive",3770
"Comedy","hilarious","positive",3708
"Comedy","charm","positive",3701
"Science Fiction & Fantasy","entertaining","positive",3679
"Comedy","enjoyable","positive",3647
"Action & Adventure","love","positive",3624
"Drama","satisfying","positive",3607
"Kids & Family","fun","positive",3596
"Drama","crime","negative",3588
"Drama","sweet","positive",3564
"Comedy","worth","positive",3542
"Drama","terrific","positive",3502
"Comedy","smart","positive",3494
"Drama","lead","positive",3477
"Science Fiction & Fantasy","plot","negative",3468
"Drama","lost","negative",3449
"Science Fiction & Fantasy","bad","negative",3429
"Drama","brilliant","positive",3364
"Drama","complex","negative",3362
"Drama","impressive","positive",3345
"Drama","tension","negative",3310
"Action & Adventure","pretty","positive",3273
"Comedy","amusing","positive",3268
"Comedy","clever","positive",3236
"Mystery & Suspense","hard","negative",3225
"Drama","beauty","positive",3218
"Action & Adventure","humor","positive",3164
"Drama","death","negative",3155
"Action & Adventure","classic","positive",3147
"Science Fiction & Fantasy","fans","positive",3131
"Drama","dull","negative",3129
"Comedy","fans","positive",3110
"Horror","scary","negative",3104
"Drama","intriguing","positive",3101
"Action & Adventure","worth","positive",3069
"Mystery & Suspense","dark","negative",3038
"Drama","lacks","negative",3027
"Drama","effective","positive",3022
"Drama","excellent","positive",3004
"Drama","mystery","negative",2987
"Action & Adventure","exciting","positive",2980
"Comedy","perfect","positive",2974
"Comedy","classic","positive",2967
"Drama","exciting","positive",2953
"Science Fiction & Fantasy","love","positive",2952
"Comedy","silly","negative",2923
"Drama","fails","negative",2921
"Drama","proves","positive",2884
"Drama","rich","positive",2866
"Drama","masterpiece","positive",2857
"Drama","talent","positive",2844
"Action & Adventure","dark","negative",2839
"Romance","funny","negative",2833
"Drama","fresh","positive",2826
"Drama","charming","positive",2825
"Action & Adventure","enjoyable","positive",2822
"Drama","intelligent","positive",2796
"Drama","worthy","positive",2795
"Art House & International","love","positive",2772
