"State","Total (Billions)","Biden","Trump","All Other","Total Vote","POPESTIMATE2020"
"ALABAMA",3,849624,1441170,32488,2323282,5031362
"ALASKA",3.7,153778,189951,15801,359530,732923
"ARIZONA",3.5,1672143,1661686,53497,3387326,7179943
"ARKANSAS",2.8,423932,760647,34490,1219069,3014195
"CALIFORNIA",18.4,11110639,6006518,384223,17501380,39501653
"COLORADO",3.2,1804352,1364607,88021,3256980,5784865
"CONNECTICUT",2.5,1080831,714717,28309,1823857,3597362
"FLORIDA",8.2,5297045,5668731,101680,11067456,21589602
"GEORGIA",5,2473633,2461854,64473,4999960,10729828
"HAWAII",1,366130,196864,11475,574469,1451043
"IDAHO",1.2,287021,554119,26794,867934,1849202
"ILLINOIS",8.4,3471915,2446891,114938,6033744,12786580
"INDIANA",3.4,1242498,1729857,60855,3033210,6788799
"IOWA",2.4,759061,897672,34138,1690871,3190571
"KANSAS",1.5,570323,771406,32257,1373986,2937919
"KENTUCKY",3.9,772474,1326646,37648,2136768,4507445
"LOUISIANA",4.3,856034,1255776,36252,2148062,4651664
"MARYLAND",2.7,1985023,976414,75593,3037030,6173205
"MASSACHUSETTS",3.6,2382202,1167202,81998,3631402,6995729
"MICHIGAN",5.2,2804040,2649852,85410,5539302,10069577
"MINNESOTA",2.7,1717077,1484065,76029,3277171,5709852
"MISSISSIPPI",2.3,539398,756764,17597,1313759,2958141
"MISSOURI",3.8,1253014,1718736,54212,3025962,6153998
"MONTANA",3.3,244786,343602,15286,603674,1087075
"NEVADA",1.7,703486,669890,32000,1405376,3115648
"NEW HAMPSHIRE",0.7518,424937,365660,15608,806205,1378587
"NEW JERSEY",5.1,2608400,1883313,57744,4549457,9271689
"NEW MEXICO",2.6,501614,401894,20457,923965,2118390
"NEW YORK",10.1,5244886,3251997,119978,8616861,20108296
"NORTH CAROLINA",4.5,2684292,2758775,81737,5524804,10449445
"NORTH DAKOTA",1.8,115042,235751,11231,362024,779518
"OHIO",6.6,2679165,3154834,88203,5922202,11797517
"OKLAHOMA",2.9,503890,1020280,36529,1560699,3964912
"OREGON",2.3,1340383,958448,75490,2374321,4244795
"PENNSYLVANIA",8.1,3458229,3377674,101073,6936976,12994440
"RHODE ISLAND",1.1,307486,199922,10349,517757,1096345
"SOUTH CAROLINA",2.3,1091541,1385103,36685,2513329,5131848
"SOUTH DAKOTA",1.3,150471,261043,11095,422609,887799
"TENNESSEE",3.7,1143711,1852475,57665,3053851,6925619
"TEXAS",14.2,5259126,5890347,165583,11315056,29232474
"UTAH",1.8,560282,865140,62867,1488289,3283785
"VERMONT",0.8521,242820,112704,11904,367428,642893
"VIRGINIA",4.5,2413568,1962430,84526,4460524,8636471
"WASHINGTON",4,2369612,1584651,133368,4087631,7724031
"WEST VIRGINIA",2,235984,545382,13365,794731,1791420
"WISCONSIN",2.8,1630866,1610184,56991,3298041,5896271
"WYOMING",2.3,73491,193559,9715,276765,577605
