"state","city","bedroom","bath","acre_lot","house_size","price","price_in_K"
"Virgin Islands","Saint Thomas",5,4,0.99,5000,950000,950
"Massachusetts","Agawam",3,3,0.45,2314,525000,525
"Massachusetts","Agawam",3,2,0.36,1276,289900,290
"Massachusetts","Agawam",3,2,0.46,1476,384900,385
"Massachusetts","Agawam",3,2,1.76,1968,199999,200
"Massachusetts","Pelham",4,2,2,1607,419000,419
"Massachusetts","Amherst",4,3,0.56,2847,745000,745
"Massachusetts","Pelham",4,4,1.5,4366,875000,875
"Massachusetts","Amherst",4,4,0.77,3879,699900,700
"Massachusetts","Amherst",3,2,0.16,1280,275000,275
"Massachusetts","Amherst",4,2,0.49,1814,415000,415
"Massachusetts","Amherst",3,2,0.5,1128,390000,390
"Massachusetts","Amherst",4,3,0.65,3465,865000,865
"Massachusetts","Amherst",4,3,0.46,2143,499900,500
"Massachusetts","Amherst",5,4,0.64,2363,650000,650
"Massachusetts","Amherst",3,4,3.04,2074,975000,975
"Massachusetts","Amherst",3,2,0.2,1349,439900,440
"Massachusetts","Granby",2,2,0.51,2000,397000,397
"Massachusetts","Whately",2,2,0.92,1723,389900,390
"Massachusetts","Sunderland",4,3,3.8,2768,459900,460
"Massachusetts","Chicopee",4,3,0.29,1514,249900,250
"Massachusetts","Granby",4,2,0.56,1523,324900,325
"Massachusetts","Belchertown",3,2,1.02,1617,364900,365
"Massachusetts","Chicopee",2,1,0.28,1207,240000,240
"Massachusetts","South Hadley",2,1,0.4,1034,224900,225
"Massachusetts","Ludlow",3,2,0.11,2240,299500,300
"Massachusetts","Orange",3,3,1.82,2096,469900,470
"Massachusetts","South Hadley",4,2,0.3,2112,295000,295
"Massachusetts","Holyoke",6,2,0.23,2399,339000,339
"Massachusetts","Chicopee",2,2,0.05,1200,275000,275
"Massachusetts","Easthampton",4,3,0.41,2590,579900,580
"Massachusetts","Holyoke",3,2,0.3,1880,365000,365
"Massachusetts","Belchertown",1,1,0.31,640,215000,215
"Massachusetts","Northampton",3,2,0.14,1728,499000,499
"Massachusetts","Northampton",3,2,0.12,1531,489900,490
"Massachusetts","Barre",1,1,0.4,634,65000,65
"Massachusetts","Barre",3,1,0.12,1175,273900,274
"Massachusetts","Barre",4,5,3.97,5023,849900,850
"Massachusetts","Barre",3,3,4.08,2283,449900,450
"Massachusetts","Belchertown",2,1,0.6,802,169999,170
"Massachusetts","Belchertown",5,3,0.32,1850,299900,300
"Massachusetts","Belchertown",3,3,1.08,2360,435000,435
"Massachusetts","Belchertown",2,3,30,2130,330000,330
"Massachusetts","Holyoke",3,2,0.25,1637,174900,175
"Massachusetts","Holyoke",5,2,0.13,1924,175000,175
"Massachusetts","Orange",5,2,1.27,1495,160000,160
"Massachusetts","Leverett",2,2,6,1779,389900,390
"Massachusetts","Southampton",3,1,0.69,1200,3e+05,300
"Massachusetts","Holyoke",4,2,0.11,1989,239900,240
"Massachusetts","Greenfield",1,2,0.53,3792,299900,300
"Massachusetts","Easthampton",3,2,0.22,2037,299900,300
"Massachusetts","South Hadley",5,2,1.85,4510,759000,759
"Massachusetts","Holyoke",3,2,0.05,1644,139000,139
"Massachusetts","South Hadley",2,1,0.25,800,110000,110
"Massachusetts","Holyoke",3,2,0.25,4620,215000,215
"Massachusetts","Deerfield",4,2,1.3,2032,386000,386
"Massachusetts","West Springfield",3,1,3.87,1008,375000,375
"Massachusetts","Hadley",4,5,7.81,7000,1295000,1295
"Massachusetts","Deerfield",4,4,1.59,3444,799000,799
"Massachusetts","Chicopee",5,2,0.15,2316,289900,290
"Massachusetts","Chicopee",4,2,0.17,2030,195500,196
"Massachusetts","Williamsburg",3,5,14.48,3112,1390000,1390
"Massachusetts","Southampton",3,3,19.23,2268,285000,285
"Massachusetts","Greenfield",1,1,0.29,640,184900,185
"Massachusetts","Easthampton",2,1,0.15,1276,195000,195
"Massachusetts","South Hadley",3,3,0.1,1781,219900,220
"Massachusetts","Holyoke",3,1,0.13,1456,279900,280
"Massachusetts","Greenfield",2,1,0.22,816,215000,215
"Massachusetts","Northampton",3,2,0.25,1609,425000,425
"Massachusetts","South Hadley",4,3,0.46,2108,4e+05,400
"Massachusetts","Granby",4,5,1.02,2396,5e+05,500
"Massachusetts","Northampton",5,2,0.38,3364,689000,689
"Massachusetts","Chicopee",4,2,0.13,1596,249987,250
"Massachusetts","Chicopee",3,1,0.26,1048,199900,200
"Massachusetts","Holyoke",4,2,0.14,2040,185000,185
"Massachusetts","Holyoke",4,2,0.12,1599,214900,215
"Massachusetts","South Hadley",5,2,0.85,1605,379900,380
"Massachusetts","Greenfield",3,1,0.29,1482,275000,275
"Massachusetts","Ludlow",4,2,0.62,1988,379900,380
"Massachusetts","Greenfield",3,2,1.07,1100,340000,340
"Massachusetts","Chicopee",6,4,0.16,2844,3e+05,300
"Massachusetts","Northampton",4,2,0.18,2382,824900,825
"Massachusetts","Easthampton",4,1,0.91,1404,349900,350
"Massachusetts","Chicopee",4,2,0.11,1872,259900,260
"Massachusetts","Springfield",3,2,0.16,1284,240000,240
"Massachusetts","Williamsburg",5,5,2,4476,1290000,1290
"Massachusetts","Holyoke",3,1,0.26,1096,289900,290
"Massachusetts","South Hadley",2,2,0.23,1210,199900,200
"Massachusetts","Montague",2,1,2.61,936,270000,270
"Massachusetts","Hadley",4,2,0.59,2394,439500,440
"Massachusetts","Holyoke",3,3,0.14,1978,289000,289
"Massachusetts","Greenfield",2,1,0.27,1200,235000,235
"Massachusetts","Easthampton",3,3,0.4,1916,449000,449
"Massachusetts","Hadley",5,4,0.72,4468,995000,995
"Massachusetts","Granby",3,2,0.54,1336,325000,325
"Massachusetts","Northampton",2,1,0.5,1072,399999,400
"Massachusetts","South Hadley",4,4,0.91,2420,547500,548
"Massachusetts","Granby",3,2,0.53,880,299900,300
"Massachusetts","Southampton",2,1,0.48,1115,319000,319
"Massachusetts","Orange",3,2,0.26,1300,349990,350
"Massachusetts","Chicopee",3,2,0.2,1584,299900,300
"Massachusetts","Orange",3,2,0.05,1092,219900,220
"Massachusetts","Athol",3,1,0.47,1268,156750,157
"Massachusetts","Holyoke",6,3,0.31,2408,365000,365
"Massachusetts","Chicopee",3,1,0.15,1170,219000,219
"Massachusetts","Chicopee",3,2,0.27,1265,259900,260
"Massachusetts","Holyoke",4,2,0.17,2094,299987,300
"Massachusetts","Easthampton",3,1,0.34,1248,350000,350
"Massachusetts","Chicopee",4,2,0.16,1280,375000,375
"Massachusetts","Montague",3,2,0.33,1770,266000,266
"Massachusetts","Montague",3,1,0.41,960,240000,240
"Massachusetts","Orange",2,2,0.57,924,149900,150
"Massachusetts","Holyoke",4,3,0.18,4704,249900,250
"Massachusetts","Greenfield",3,1,0.15,1416,235000,235
"Massachusetts","Athol",5,2,2.11,3024,275000,275
"Massachusetts","Williamsburg",3,1,0.4,1529,265000,265
"Massachusetts","Holyoke",4,2,0.13,1529,229000,229
"Massachusetts","West Springfield",3,1,0.65,1424,299000,299
"Massachusetts","Easthampton",3,1,0.8,1040,309000,309
"Massachusetts","Holyoke",4,1,1.06,1243,279900,280
"Massachusetts","Chicopee",6,2,0.13,2288,294900,295
"Massachusetts","Blandford",4,3,1.6,1960,399900,400
"Massachusetts","Blandford",4,3,0.69,3476,675000,675
"Massachusetts","Blandford",4,3,100.5,3063,1237542,1238
"Connecticut","Coventry",4,3,2.34,3320,579900,580
"Connecticut","East Windsor",2,1,0.91,960,215000,215
"Connecticut","Vernon",2,1,0.36,860,144900,145
"Connecticut","East Windsor",4,2,0.38,1617,289900,290
"Massachusetts","Ware",3,2,0.4,1911,239900,240
"Connecticut","Ellington",3,3,0.92,1960,349900,350
"Connecticut","East Windsor",3,1,1.43,1351,239900,240
"Connecticut","Vernon",3,2,0.87,1850,299900,300
"Massachusetts","Longmeadow",4,1,0.64,1296,329000,329
"Connecticut","Stafford",4,3,1.64,2056,399900,400
"Massachusetts","Springfield",3,2,0.15,1613,299900,300
"Massachusetts","Springfield",5,3,0.14,2328,289900,290
"Connecticut","Manchester",3,2,0.51,1828,349900,350
"Connecticut","Enfield",3,1,0.23,1220,249900,250
"Connecticut","Stafford",3,1,0.69,1192,3e+05,300
"Massachusetts","Springfield",4,4,0.21,2016,350000,350
"Massachusetts","Palmer",3,1,0.39,1166,260000,260
"Connecticut","Ellington",3,2,0.26,1174,248900,249
"Massachusetts","Brimfield",4,2,1,1765,129900,130
"Massachusetts","Brimfield",2,1,0.35,814,164900,165
"Massachusetts","Brimfield",4,4,1.52,3408,559000,559
"Massachusetts","Brimfield",3,4,5.93,5500,899900,900
"Massachusetts","Chester",3,1,0.25,1367,115900,116
"Massachusetts","Cummington",1,1,0.47,608,160000,160
"Massachusetts","Granville",3,3,21,3362,649000,649
"Massachusetts","Becket",3,2,0.24,1422,149900,150
"Massachusetts","Springfield",3,3,0.14,1588,289900,290
"Massachusetts","Westfield",3,2,1.13,2448,439900,440
"Massachusetts","Agawam",3,2,0.49,1708,379900,380
"Massachusetts","Savoy",2,1,3,980,149900,150
"Massachusetts","Springfield",2,1,0.12,864,195000,195
"Massachusetts","Southwick",3,2,4.28,1410,349900,350
"Massachusetts","West Springfield",3,2,0.37,1269,299900,300
"Massachusetts","Westfield",3,2,0.34,1424,299413,299
"Massachusetts","West Springfield",6,3,0.14,2673,389999,390
"Massachusetts","Westfield",3,2,0.34,1536,349900,350
"Massachusetts","East Longmeadow",4,2,1.03,1638,349900,350
"Massachusetts","East Longmeadow",1,1,0.09,793,129000,129
"Massachusetts","East Longmeadow",4,5,0.26,4122,674444,674
"Massachusetts","East Longmeadow",3,2,0.23,1259,249900,250
"Massachusetts","East Longmeadow",2,1,0.38,988,279000,279
"Massachusetts","East Longmeadow",3,1,0.8,1196,259000,259
"Massachusetts","East Longmeadow",4,3,0.28,2500,399000,399
"Massachusetts","East Longmeadow",4,4,0.97,3000,739900,740
"Massachusetts","East Longmeadow",2,2,0.46,1174,299000,299
"Massachusetts","East Longmeadow",4,1,0.22,1425,304900,305
"Massachusetts","East Longmeadow",2,1,0.57,1020,409900,410
"Massachusetts","Agawam",4,3,0.61,2857,589900,590
"Massachusetts","Agawam",3,1,0.28,1260,3e+05,300
"Massachusetts","Agawam",5,4,0.53,2094,439900,440
"Massachusetts","Hardwick",3,1,1.41,1092,269900,270
"Massachusetts","Adams",2,2,0.28,1206,159900,160
"Massachusetts","Buckland",3,3,1.4,2234,349900,350
"Massachusetts","Springfield",3,1,0.09,1303,150000,150
"Massachusetts","Cummington",1,1,5.46,600,144000,144
"Massachusetts","Pittsfield",3,1,0.17,1180,139900,140
"Massachusetts","Pittsfield",3,2,0.16,1352,209000,209
"Massachusetts","Pittsfield",3,1,0.31,1152,231500,232
"Massachusetts","Cheshire",3,2,0.5,1756,324900,325
"Massachusetts","Huntington",4,2,17.84,2196,380000,380
"Massachusetts","Pittsfield",5,3,0.15,2549,225000,225
"Massachusetts","Pittsfield",4,2,0.21,1200,209900,210
"Massachusetts","Cheshire",3,3,0.52,2191,355000,355
"Massachusetts","Pittsfield",4,3,0.46,2908,629900,630
"Massachusetts","Otis",3,2,2.99,2372,4e+05,400
"Connecticut","Winchester",2,1,0.29,1450,40000,40
"Connecticut","Winchester",3,2,0.21,1248,59900,60
"Connecticut","Barkhamsted",4,3,3.35,2626,556000,556
"Connecticut","Enfield",3,1,0.39,1494,249900,250
"Connecticut","Winchester",5,3,13.8,2482,365000,365
"Massachusetts","Great Barrington",3,2,0.16,1500,429000,429
"Connecticut","North Canaan",3,2,0.35,1620,299000,299
"Connecticut","Suffield",5,4,2.06,3323,539000,539
"Massachusetts","Monterey",3,3,2,2482,699000,699
"Connecticut","Windsor Locks",4,2,0.32,1735,221000,221
"Connecticut","Winchester",3,3,0.12,838,735000,735
"Connecticut","Winchester",3,2,0.19,2005,175000,175
"Connecticut","Enfield",4,1,0.28,1152,165000,165
"Connecticut","Winchester",3,1,0.21,1595,140000,140
"Massachusetts","Great Barrington",5,3,0.19,2173,449797,450
"Connecticut","Enfield",5,3,0.12,3117,270000,270
"Connecticut","Barkhamsted",3,2,1.26,1584,389000,389
"Connecticut","Enfield",5,3,0.3,1772,294900,295
"Connecticut","Norfolk",3,3,1,2925,425000,425
"Massachusetts","Granville",4,4,9.3,3164,799000,799
"Connecticut","Suffield",4,4,1.56,3275,699900,700
"Connecticut","Colebrook",5,3,46.28,3307,1095000,1095
"Connecticut","North Canaan",5,3,1.97,3058,399000,399
"Connecticut","Winchester",2,1,0.16,500,169900,170
"Connecticut","Granby",4,3,1.34,2967,485000,485
"Connecticut","Winchester",3,1,0.14,1170,279000,279
"Connecticut","Winchester",3,2,0.23,1346,225000,225
"Massachusetts","Sheffield",3,2,4.1,1900,575000,575
"Massachusetts","Springfield",4,2,0.1,2160,239999,240
"Massachusetts","Great Barrington",3,3,5.2,2900,2100000,2100
"Connecticut","Suffield",4,3,1.2,3590,749999,750
"Connecticut","Enfield",6,4,0.19,1664,174900,175
"Connecticut","Barkhamsted",3,3,6.92,2462,493000,493
"Connecticut","Enfield",3,1,0.06,1209,189900,190
"Connecticut","Enfield",2,1,1.02,1212,189900,190
"Connecticut","Winchester",3,1,0.11,1156,154500,154
"Connecticut","Granby",4,4,2.41,3394,550000,550
"Connecticut","Granby",4,3,6.67,2166,357500,358
"Connecticut","Windsor Locks",3,1,0.8,1256,245900,246
"Massachusetts","Sandisfield",1,1,2.23,5104,349000,349
"Connecticut","Canton",4,4,2.31,2652,649900,650
"Connecticut","Simsbury",4,3,0.69,2126,475000,475
"Massachusetts","Sheffield",4,4,1.3,5005,729000,729
"Massachusetts","Longmeadow",4,3,0.87,2501,649000,649
"Massachusetts","Springfield",6,2,0.1,1728,250000,250
"Massachusetts","Pittsfield",3,1,0.31,1892,124900,125
"Massachusetts","Hinsdale",6,2,0.57,2979,109900,110
"Massachusetts","Pittsfield",3,1,0.21,1746,224900,225
"Massachusetts","Pittsfield",2,1,0.22,1175,169900,170
"Massachusetts","Pittsfield",5,3,0.1,2027,149900,150
"Massachusetts","Pittsfield",2,2,0.24,1044,264999,265
"Massachusetts","Plainfield",4,3,62,2650,649000,649
"Massachusetts","Adams",4,1,0.3,1360,395000,395
"Massachusetts","Dalton",3,2,0.17,1376,289900,290
"Massachusetts","Pittsfield",3,2,0.2,1572,239900,240
"Massachusetts","Lanesborough",3,1,0.24,875,185000,185
"Massachusetts","Worthington",4,1,46,2180,750000,750
"Massachusetts","Pittsfield",3,2,0.23,1362,299999,300
"Massachusetts","Pittsfield",3,2,0.75,2190,459900,460
"Massachusetts","Lanesborough",4,4,196.1,3396,999000,999
"Massachusetts","Savoy",5,4,58,4685,975000,975
"Massachusetts","Pittsfield",2,2,0.18,1094,224900,225
"Massachusetts","Pittsfield",2,1,0.34,791,80000,80
"Massachusetts","Adams",2,1,0.36,1032,99000,99
"Massachusetts","Pittsfield",3,2,0.11,1122,110000,110
"Massachusetts","Pittsfield",4,2,0.06,1872,119900,120
"Massachusetts","Pittsfield",3,2,0.3,1260,250000,250
"Massachusetts","Adams",2,1,0.02,640,99900,100
"Massachusetts","Pittsfield",4,2,0.36,1610,279900,280
"Massachusetts","Pittsfield",3,2,0.46,1536,299900,300
"Massachusetts","Pittsfield",3,1,0.18,1080,229900,230
"Massachusetts","Pittsfield",4,1,0.77,1644,269000,269
"Massachusetts","Adams",3,1,0.25,1105,199900,200
"Massachusetts","Adams",1,1,0.25,766,139900,140
"Massachusetts","Adams",4,2,0.2,1846,275000,275
"Massachusetts","Pittsfield",6,2,0.12,2664,209000,209
"Massachusetts","Pittsfield",2,1,0.12,841,189900,190
"Massachusetts","Dalton",3,2,0.23,1452,159900,160
"Massachusetts","Dalton",3,1,0.14,1522,214900,215
"Massachusetts","Pittsfield",3,2,0.16,1809,249900,250
"Massachusetts","Adams",3,1,0.21,1632,170000,170
"Massachusetts","Pittsfield",3,3,0.17,1326,265000,265
"Massachusetts","Pittsfield",2,1,0.39,720,219900,220
"Connecticut","Colebrook",3,2,6.53,2532,339900,340
"Connecticut","Windsor Locks",3,2,0.37,1440,179900,180
"Connecticut","Enfield",3,3,0.76,2142,499900,500
"Massachusetts","Sandisfield",3,1,10.75,1056,299000,299
"Connecticut","East Granby",3,2,0.55,1470,254900,255
"Connecticut","Suffield",2,3,0.58,1902,280000,280
"Connecticut","Enfield",4,2,0.17,1655,199900,200
"Massachusetts","Great Barrington",3,2,0.2,1424,475000,475
"Massachusetts","Springfield",6,2,0.13,2580,249900,250
"Connecticut","Suffield",4,2,1.39,1482,3e+05,300
"Connecticut","Winchester",2,1,0.43,720,189000,189
"Connecticut","Windsor",4,4,0.73,3434,558000,558
"Connecticut","Granby",3,1,0.62,1040,250000,250
"Connecticut","Simsbury",4,3,0.57,2022,4e+05,400
"Connecticut","Granby",3,3,2.17,2457,625000,625
"Massachusetts","Springfield",6,2,0.11,2016,259900,260
"Connecticut","Suffield",3,3,0.62,1461,310000,310
"Massachusetts","Springfield",4,1,0.1,1410,199919,200
"Massachusetts","Westfield",5,3,1.66,4296,670000,670
"Connecticut","Enfield",3,3,1,2010,495000,495
"Massachusetts","Springfield",4,2,0.11,1525,159900,160
"Connecticut","Granby",4,3,1.14,2203,375000,375
